MD5,SHA1,FileNames
"62ef0fbf3662007d0e5c0ec82935ecb8","293b5bc88f85beaa71ec2fda918ff29b88142df4","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-200.jpg"
"11b359a87e5ed924c8cb91458bf29487","310fe449be8042f5025e5757a00dd204b6aaee7c","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-256.jpg"
"f494248f49304840923c1c2dc77a15a0","700c032f3459eb27cff565328f838779a195fd82","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-265.jpg"
"824a26a67fe696e0409f42c29c2d0016","a4d9437ad47fb56a2ad3666f9d78d3e22d4bc6f4","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-279.jpg"
"62eeab1774bd5a5c4d667d87e134df45","06fd0447b34f14a11170b95d5f177441671ea776","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-323.jpg"
"a875efcca33be480ff24b87644553141","e366e1f7bfe713870dea464ec462dd02610e1495","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-398.jpg"
"ad82bb4b8859673c8b7767cc8137065b","19af6e713026c077c607c88c893d8a2ddb4f4f73","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-447.jpg"
"c33b671782ef39a9581821bf47ba324e","c3d6fa410061d1d7996051f5acbfa5de1327214a","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-498.jpg"
"91e808baec18f44ecf5a680a792f84fb","dcc35c4108b0ba18f4274c0258dd8b87087804e8","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-600.jpg"
"919d7d052ec39ad18e44eac4b0d7f6e4","203bb9e4a6f8a218a1a7afc7a138a00d6bc551ba","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-628.jpg"
"b096a87005c203d4653f8a3dbd2cd137","a46897fd4b3c52b2aabfeafe4db1023f29e346fe","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-660.jpg"
"5589b9ee906bc41e117fdd22c7c74751","c5a5abbdaed93235c5d3ee6cb82cfa6d9fc3d96a","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-708.jpg"
"5b54e7d6172abca8511c4c30e86470d9","06140931da63523462f976d223723d8975e9c8ef","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-861.jpg"
